# x	y	u	v	mask
  0.5200	  1.5600	  0.0000	  0.0000	  0.0000
  0.7800	  1.5600	  2.9817	  0.1727	  1.0000
  1.0400	  1.5600	  0.0000	  0.0000	  0.0000
  1.3000	  1.5600	  0.0000	  0.0000	  0.0000
  1.5600	  1.5600	  3.0760	  0.0538	  1.0000
  1.8200	  1.5600	  3.0126	  0.0578	  1.0000
  2.0800	  1.5600	  0.0000	  0.0000	  0.0000
  2.3400	  1.5600	  2.3716	  0.2487	  1.0000
  2.6000	  1.5600	  0.0000	  0.0000	  0.0000
  2.8600	  1.5600	  2.0573	  0.3448	  1.0000
  3.1200	  1.5600	  1.7851	  0.2502	  1.0000
  3.3800	  1.5600	  1.9102	  0.4911	  1.0000
  0.2600	  1.3000	  0.0000	  0.0000	  0.0000
  0.5200	  1.3000	  2.8333	  0.1145	  1.0000
  0.7800	  1.3000	  0.0000	  0.0000	  0.0000
  1.0400	  1.3000	  0.0000	  0.0000	  0.0000
  1.3000	  1.3000	  0.0000	  0.0000	  0.0000
  1.5600	  1.3000	  2.8161	 -0.0779	  1.0000
  1.8200	  1.3000	  2.7266	 -0.0872	  1.0000
  2.0800	  1.3000	  0.0000	  0.0000	  0.0000
  2.3400	  1.3000	  0.0000	  0.0000	  0.0000
  2.6000	  1.3000	  1.8092	 -0.0019	  1.0000
  2.8600	  1.3000	  1.6520	  0.0058	  1.0000
  3.1200	  1.3000	  0.0000	  0.0000	  0.0000
  3.3800	  1.3000	  1.5635	  0.1302	  1.0000
  0.2600	  1.0400	  0.0000	  0.0000	  0.0000
  0.5200	  1.0400	  0.0000	  0.0000	  0.0000
  0.7800	  1.0400	  2.5263	  0.3740	  1.0000
  1.0400	  1.0400	  0.0000	  0.0000	  0.0000
  1.3000	  1.0400	  0.0000	  0.0000	  0.0000
  1.5600	  1.0400	  2.2329	  0.0768	  1.0000
  1.8200	  1.0400	  2.0764	  0.0189	  1.0000
  2.0800	  1.0400	  1.9195	 -0.0934	  1.0000
  2.3400	  1.0400	  0.0000	  0.0000	  0.0000
  2.6000	  1.0400	  0.0000	  0.0000	  0.0000
  2.8600	  1.0400	  1.0765	 -0.2129	  1.0000
  3.1200	  1.0400	  0.0000	  0.0000	  0.0000
  3.3800	  1.0400	  1.0799	 -0.1345	  1.0000
  0.2600	  0.7800	  2.0556	  0.4261	  1.0000
  0.5200	  0.7800	  0.0000	  0.0000	  0.0000
  0.7800	  0.7800	  0.0000	  0.0000	  0.0000
  1.0400	  0.7800	  2.3331	  0.2902	  1.0000
  1.3000	  0.7800	  2.4416	  0.3044	  1.0000
  1.5600	  0.7800	  2.0252	  0.0188	  1.0000
  1.8200	  0.7800	  1.7842	 -0.0919	  1.0000
  2.0800	  0.7800	  0.0000	  0.0000	  0.0000
  2.3400	  0.7800	  0.0000	  0.0000	  0.0000
  2.6000	  0.7800	  0.0000	  0.0000	  0.0000
  2.8600	  0.7800	  0.0000	  0.0000	  0.0000
  3.1200	  0.7800	  0.2587	 -0.5232	  1.0000
  3.3800	  0.7800	  0.0000	  0.0000	  0.0000
  0.2600	  0.5200	  1.9664	  0.2084	  1.0000
  0.5200	  0.5200	  0.0000	  0.0000	  0.0000
  0.7800	  0.5200	  0.0000	  0.0000	  0.0000
  1.0400	  0.5200	  0.0000	  0.0000	  0.0000
  1.3000	  0.5200	  2.1863	  0.1441	  1.0000
  1.5600	  0.5200	  0.0000	  0.0000	  0.0000
